id_t;neo_id;name;absoluteMagnitude;estimateDiameterMin;estimatedDiameterMax;relativeVelocity;missDistance;isHazardous
253;3802037;(2018 FA3);22.80;0.073207399;0.163696721;49393.6043;37373768.05;False
253;2141432;141432 (2002 CQ11);20.06;0.258556212;0.578149266;31208.78061;28072682.04;True
253;2192559;192559 (1998 VO);20.43;0.218049441;0.487573371;27568.9334;56877385.05;True
253;3143081;(2002 VR85);20.30;0.231502122;0.517654482;46344.09404;37145926.61;True
253;3390647;(2007 US12);22.13;0.099667824;0.22286403;97257.54441;56076798.97;False
253;3654378;(2013 WF108);20.38;0.223128464;0.498930414;62591.04734;56174056;True
253;54104542;(2021 AG1);24.25;0.037545248;0.083953727;75420.97001;69144340.99;False
253;54336061;(2022 YF2);23.03;0.065849878;0.147244804;41861.36728;21058171.68;False
253;54354863;(2023 HM2);23.86;0.04493192;0.100470827;24029.5453;24915561.48;False
253;2434188;434188 (2003 AD23);19.09;0.404161533;0.903732663;139874.0817;55268153.53;True
253;2511684;511684 (2015 BN509);20.79;0.184737464;0.413085527;48484.44171;71274761.9;True
253;3472366;(2009 UC19);25.20;0.024241248;0.054205079;33442.38161;71276806.2;False
253;3556208;(2011 CG2);21.45;0.136318556;0.304817558;15251.96507;36878669.43;True
253;3843391;(2019 OZ1);21.97;0.107288946;0.239905375;75977.57942;64984997.36;False
253;54073358;(2020 TT7);22.27;0.093444765;0.208948847;11918.19055;34540419.04;False
253;54298999;(2022 QG8);26.95;0.010828168;0.024212519;68744.73177;44322718.7;False
253;3511354;(2010 DH77);21.06;0.163137941;0.364787526;110070.0568;60271829.55;False
253;3554011;(2010 XX72);22.06;0.102933082;0.230165369;80064.42561;65506762.73;False
253;3653602;(2013 VA10);22.31;0.091739206;0.205135101;151827.0503;71584136.12;False
253;3837516;(2018 XB20);21.40;0.139493823;0.311917671;42101.63146;20230122.01;False
253;3959231;(2019 YL4);24.40;0.035039264;0.078350176;22154.3357;22275516;False
253;3363348;(2006 XY);24.20;0.038419789;0.08590926;30799.92431;19288058.54;False
253;3555162;(2011 AM24);20.51;0.210162379;0.469937367;25561.12694;47528281.54;True
253;3703788;(2015 AK45);26.40;0.013949382;0.031191767;42135.7363;43721884.31;False
253;3739078;(2015 YM10);19.83;0.287445144;0.642746882;129838.3226;43094808.67;False
253;3756789;(2016 PO);25.10;0.025383703;0.056759685;25143.53571;49346598.68;False
253;3760528;(2016 TQ11);25.70;0.019255508;0.043056624;18183.16857;33151861.86;False
253;3772840;(2017 FP91);25.50;0.021113245;0.04721065;53014.27807;56944901.33;False
253;3837602;(2019 AC3);27.30;0.009216266;0.020608196;43748.81329;43339786.53;False
253;3892276;(2019 VA1);27.50;0.008405334;0.018794898;36943.77222;68348784.21;False
253;2530871;530871 (2011 WS2);17.25;0.943093989;2.108822268;87013.55484;63795940.33;False
253;3561031;(2011 GF3);22.42;0.087207729;0.19500241;49400.2559;33564152.63;False
253;3599112;(2012 CM29);21.43;0.137579896;0.307638;12698.03487;49454214.33;False
253;3836244;(2018 VQ9);20.97;0.170041519;0.380224396;87664.80953;68925353.95;False
253;54048948;(2020 OA3);24.76;0.029686225;0.066380417;15151.51541;46924239.88;False
