COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2019-079A;44797;Unknown;;;;
2019-079D;44835;Unknown;;;;
2023-045A;56091;Unknown;;;;
2019-039B;44422;Unknown;;;;
2019-039C;44423;Unknown;;;;
2015-003E;40380;California Polytechnic University;NASA JPL;;;
2010-013A;36508;EADS Astrium;;;;
2019-092A;44873;Thales Alenia Space;;;;
2018-099AM;43793;Blue Canyon Technologies;;;;
2018-106A;43866;Centre National D'̩tudes Spatiales (CNES);;;;
2020-104A;47305;Centre National D'̩tudes Spatiales (CNES);;;;
2013-066AA;39440;Argentinian Ministry of Science, Technology and Productive Innovation;;;;
2018-104K;43858;University of Illinois Urbana-Champaign;;;;
2003-031J;27848;Department of Astronautics, University of Tokyo;;;;
2021-088E;49264;NASA Goddard Space Flight Center collaborators;;;;
2021-088D;49263;Department of Astrophysical and Planetary Sciences, University of Colorado Boulder;;;;
2016-078D;41887;Southwest Research Institute;;;;
2016-078C;41886;Southwest Research Institute;;;;
2016-078H;41891;Southwest Research Institute;;;;
2016-078B;41885;Southwest Research Institute;;;;
2016-078A;41884;Southwest Research Institute;;;;
2016-078F;41889;Southwest Research Institute;;;;
2016-078G;41890;Southwest Research Institute;;;;
2016-078E;41888;Southwest Research Institute;;;;
2018-111F;43881;German Orbital Systems;;;;
2021-059AV;48922;NanoAvionics;;;;
2014-029A;39766;Mitsubishi Electric;;;;
2015-078A;41173;China Academy of Science;;;;
2018-104J;43857;North Idaho STEM Charter Academy;;;;
2022-019X;51845;MinoSpace Technology (?);;;;
2015-049P;40912;Shenzhen Aerospace Dongfanghong HIT Satellite Ltd.;CAMSAT;;;
2009-041A;35681;Surrey Satellite Technology Ltd.;;;;
2014-033D;40013;Satrec Initiative;;;;
2020-068H;46493;German Orbital Systems;;;;
2008-021G;32789;Technical University of Delft;;;;
1998-067RP;45916;Massachusetts Institute of Technology;Blue Canyon Technologies Inc.;;;
2023-054C;56180;NanoAvionics;;;;
2021-013F;49016;Khalifa University;Yahsat;;;
2017-050B;42922;DARPA;University of Utah;;;
2017-036X;42786;GomSpace ApS;;;;
2017-036W;42785;GomSpace ApS;;;;
2017-036U;42783;GomSpace ApS;;;;
2017-008BE;42000;Innovative Solutions in Space BV;;;;
2020-061N;46284;Innovative Solutions in Space BV;;;;
2007-032A;31862;Boeing Space & Intelligence Systems;;;;
2008-013A;32729;Boeing Satellite Development Center;;;;
2009-075A;36131;Boeing Space Systems;;;;
2014-078B;40333;Space Systems;Loral;;;
2015-026A;40663;Airbus Defense and Space;;;;
2002-023A;27426;Space Systems;Loral;;;
2005-019A;28659;Space Systems;Loral;;;
2006-043A;29494;Space Systems;Loral;;;
2023-054AW;56222;Danish Student Cubesat Programme;;;;
2018-084H;43678;PHL Microsat;;;;
1999-029B;25757;Institute of Aeronautics and Astronautics, Technical University of Berlin;;;;
2015-032A;40715;Surrey Satellite Technology Ltd.;;;;
2015-032B;40716;Surrey Satellite Technology Ltd.;;;;
2015-032C;40717;Surrey Satellite Technology Ltd.;;;;
2021-022J;47940;UNITAS Space Flight Laboratory (SFL);;;;
1997-012A;24753;Lockheed Martin Missiles & Space;;;;
1999-067A;25991;Lockheed Martin Missiles & Space;;;;
2003-048A;28054;Lockheed Martin Missiles & Space;;;;
2006-050A;29522;Lockheed Martin Missiles & Space;;;;
2009-057A;35951;Lockheed Martin Missiles & Space;;;;
2022-002DE;51084;Lockheed Martin Missiles & Space;;;;
2019-038P;44399;Surrey Satellite Technology Ltd.;;;;
2018-111AF;43905;Planet Labs, Inc.;;;;
2018-111T;43893;Planet Labs, Inc.;;;;
2018-111Z;43899;Planet Labs, Inc.;;;;
2018-111AC;43902;Planet Labs, Inc.;;;;
2018-111AG;43906;Planet Labs, Inc.;;;;
2017-068L;42997;Planet Labs, Inc.;;;;
2017-008AD;41975;Planet Labs, Inc.;;;;
2017-008AA;41972;Planet Labs, Inc.;;;;
2017-008U;41966;Planet Labs, Inc.;;;;
2017-008BY;42018;Planet Labs, Inc.;;;;
2017-008W;41968;Planet Labs, Inc.;;;;
2017-008CD;42023;Planet Labs, Inc.;;;;
2017-008AU;41990;Planet Labs, Inc.;;;;
2017-008AS;41988;Planet Labs, Inc.;;;;
2017-008T;41965;Planet Labs, Inc.;;;;
2017-008CM;42031;Planet Labs, Inc.;;;;
2017-008BF;42001;Planet Labs, Inc.;;;;
2017-008CK;42029;Planet Labs, Inc.;;;;
2017-008BU;42014;Planet Labs, Inc.;;;;
2017-008CX;42041;Planet Labs, Inc.;;;;
2017-008AG;41978;Planet Labs, Inc.;;;;
2017-008AF;41977;Planet Labs, Inc.;;;;
2017-008BP;42009;Planet Labs, Inc.;;;;
2017-008CQ;42034;Planet Labs, Inc.;;;;
2017-008CJ;42028;Planet Labs, Inc.;;;;
2017-008CH;42027;Planet Labs, Inc.;;;;
2017-008DE;42048;Planet Labs, Inc.;;;;
2017-008BZ;42019;Planet Labs, Inc.;;;;
2017-008CG;42026;Planet Labs, Inc.;;;;
2018-096AE;43747;Planet Labs, Inc.;;;;
2018-096G;43725;Planet Labs, Inc.;;;;
2018-096F;43724;Planet Labs, Inc.;;;;
2018-096Q;43733;Planet Labs, Inc.;;;;
2018-096Y;43741;Planet Labs, Inc.;;;;
2018-096Z;43742;Planet Labs, Inc.;;;;
2018-096E;43723;Planet Labs, Inc.;;;;
2018-099M;43769;Planet Labs, Inc.;;;;
2019-018L;44088;Planet Labs, Inc.;;;;
2019-018N;44090;Planet Labs, Inc.;;;;
2019-018C;44080;Planet Labs, Inc.;;;;
2019-018T;44095;Planet Labs, Inc.;;;;
2019-018W;44098;Planet Labs, Inc.;;;;
2020-077A;46813;Planet Labs, Inc.;;;;
2020-077H;46820;Planet Labs, Inc.;;;;
2020-077G;46819;Planet Labs, Inc.;;;;
2020-077J;46821;Planet Labs, Inc.;;;;
2020-077E;46817;Planet Labs, Inc.;;;;
2020-077K;46822;Planet Labs, Inc.;;;;
2020-077B;46814;Planet Labs, Inc.;;;;
2020-077D;46816;Planet Labs, Inc.;;;;
2020-077C;46815;Planet Labs, Inc.;;;;
2019-081L;44814;Planet Labs, Inc.;;;;
2019-081E;44808;Planet Labs, Inc.;;;;
2019-081F;44809;Planet Labs, Inc.;;;;
2019-081J;44812;Planet Labs, Inc.;;;;
2019-081H;44811;Planet Labs, Inc.;;;;
2019-081Q;44818;Planet Labs, Inc.;;;;
2019-081N;44816;Planet Labs, Inc.;;;;
2021-006ED ;47543;Planet Labs, Inc.;;;;
2021-006DP ;47523;Planet Labs, Inc.;;;;
2021-006BB ;47462;Planet Labs, Inc.;;;;
2021-006BL ;47471;Planet Labs, Inc.;;;;
2021-006BM ;47472;Planet Labs, Inc.;;;;
2021-006DU ;47528;Planet Labs, Inc.;;;;
2021-006DM ;47521;Planet Labs, Inc.;;;;
2021-006DG ;47516;Planet Labs, Inc.;;;;
2021-006CH ;47492;Planet Labs, Inc.;;;;
2021-006CM ;47496;Planet Labs, Inc.;;;;
2021-006CR ;47500;Planet Labs, Inc.;;;;
2021-006CP ;47498;Planet Labs, Inc.;;;;
2021-006EA ;47540;Planet Labs, Inc.;;;;
2021-006AV ;47456;Planet Labs, Inc.;;;;
2021-006AR ;47452;Planet Labs, Inc.;;;;
2021-006EF ;47545;Planet Labs, Inc.;;;;
2021-006DZ ;47539;Planet Labs, Inc.;;;;
2021-006EC ;47542;Planet Labs, Inc.;;;;
2021-006CL ;47495;Planet Labs, Inc.;;;;
2021-006DE ;47514;Planet Labs, Inc.;;;;
2021-006CK ;47494;Planet Labs, Inc.;;;;
2021-006EE ;47544;Planet Labs, Inc.;;;;
