COSPAR_number;NORAD_number;owner1;owner2;owner3
2018-111T;43893;Planet Labs, Inc.;;
2018-111Z;43899;Planet Labs, Inc.;;
2018-111AC;43902;Planet Labs, Inc.;;
2018-111AG;43906;Planet Labs, Inc.;;
2017-068L;42997;Planet Labs, Inc.;;
2017-008AD;41975;Planet Labs, Inc.;;
2017-008AA;41972;Planet Labs, Inc.;;
2017-008U;41966;Planet Labs, Inc.;;
2017-008BY;42018;Planet Labs, Inc.;;
2017-008W;41968;Planet Labs, Inc.;;
2017-008CD;42023;Planet Labs, Inc.;;
2017-008AU;41990;Planet Labs, Inc.;;
2017-008AS;41988;Planet Labs, Inc.;;
2017-008T;41965;Planet Labs, Inc.;;
2017-008CM;42031;Planet Labs, Inc.;;
2017-008BF;42001;Planet Labs, Inc.;;
2017-008CK;42029;Planet Labs, Inc.;;
2017-008BU;42014;Planet Labs, Inc.;;
2017-008CX;42041;Planet Labs, Inc.;;
2017-008AG;41978;Planet Labs, Inc.;;
2017-008AF;41977;Planet Labs, Inc.;;
2017-008BP;42009;Planet Labs, Inc.;;
2017-008CQ;42034;Planet Labs, Inc.;;
2017-008CJ;42028;Planet Labs, Inc.;;
2017-008CH;42027;Planet Labs, Inc.;;
2017-008DE;42048;Planet Labs, Inc.;;
2017-008BZ;42019;Planet Labs, Inc.;;
2017-008CG;42026;Planet Labs, Inc.;;
2018-096AE;43747;Planet Labs, Inc.;;
2018-096G;43725;Planet Labs, Inc.;;
2018-096F;43724;Planet Labs, Inc.;;
2018-096Q;43733;Planet Labs, Inc.;;
2018-096Y;43741;Planet Labs, Inc.;;
2018-096Z;43742;Planet Labs, Inc.;;
2018-096E;43723;Planet Labs, Inc.;;
2018-099M;43769;Planet Labs, Inc.;;
2019-018L;44088;Planet Labs, Inc.;;
2019-018N;44090;Planet Labs, Inc.;;
2019-018C;44080;Planet Labs, Inc.;;
2019-018T;44095;Planet Labs, Inc.;;
2019-018W;44098;Planet Labs, Inc.;;
2020-077A;46813;Planet Labs, Inc.;;
2020-077H;46820;Planet Labs, Inc.;;
2020-077G;46819;Planet Labs, Inc.;;
2020-077J;46821;Planet Labs, Inc.;;
2020-077E;46817;Planet Labs, Inc.;;
2020-077K;46822;Planet Labs, Inc.;;
2020-077B;46814;Planet Labs, Inc.;;
2020-077D;46816;Planet Labs, Inc.;;
2020-077C;46815;Planet Labs, Inc.;;
2019-081L;44814;Planet Labs, Inc.;;
2019-081E;44808;Planet Labs, Inc.;;
2019-081F;44809;Planet Labs, Inc.;;
2019-081J;44812;Planet Labs, Inc.;;
2019-081H;44811;Planet Labs, Inc.;;
2019-081Q;44818;Planet Labs, Inc.;;
2019-081N;44816;Planet Labs, Inc.;;
2021-006ED ;47543;Planet Labs, Inc.;;
2021-006DP ;47523;Planet Labs, Inc.;;
2021-006BB ;47462;Planet Labs, Inc.;;
2021-006BL ;47471;Planet Labs, Inc.;;
