COSPAR_number;NORAD_number;owner1;owner2;owner3;owner4
2022-101BB;53576;SpaceX;;;
2022-101AU;53569;SpaceX;;;
2022-101AT;53568;SpaceX;;;
2022-101AW;53571;SpaceX;;;
2022-101AS;53567;SpaceX;;;
2022-104BA;53636;SpaceX;;;
2022-104AZ;53635;SpaceX;;;
2022-104BF ;53641;SpaceX;;;
2022-107AY ;53746;SpaceX;;;
2022-104U;53606;SpaceX;;;
2022-104V;53607;SpaceX;;;
2022-104AY;53634;SpaceX;;;
2022-104AX;53633;SpaceX;;;
2022-104BC;53638;SpaceX;;;
2022-104AR;53627;SpaceX;;;
2022-104AN;53624;SpaceX;;;
2022-104BE;53640;SpaceX;;;
2022-104AU;53630;SpaceX;;;
2022-104AV;53631;SpaceX;;;
2022-104AS;53628;SpaceX;;;
2022-104AF;53617;SpaceX;;;
2022-102AT;53629;SpaceX;;;
2022-104AP;53625;SpaceX;;;
2022-104AG;53618;SpaceX;;;
2022-104AE;53616;SpaceX;;;
2022-104AW;53632;SpaceX;;;
2022-107AS ;53740;SpaceX;;;
2022-104AK;53621;SpaceX;;;
2022-104AH;53619;SpaceX;;;
2022-104Y;53610;SpaceX;;;
2022-107BC ;53750;SpaceX;;;
2022-107AT ;53741;SpaceX;;;
2022-104AJ;53620;SpaceX;;;
2022-107AL ;53734;SpaceX;;;
2022-105AD;53675;SpaceX;;;
2022-107AM ;53735;SpaceX;;;
2022-141AL ;54191;SpaceX;;;
2022-105AC;53674;SpaceX;;;
2022-105AE;53676;SpaceX;;;
2022-105A;53648;SpaceX;;;
2023-010AY;55315;SpaceX;;;
2022-105AN;53684;SpaceX;;;
2022-105AM;53683;SpaceX;;;
2022-105AP;53685;SpaceX;;;
2022-107M ;53711;SpaceX;;;
2022-125E ;53968;SpaceX;;;
2022-105AJ;53680;SpaceX;;;
2022-111P ;53786;SpaceX;;;
2022-105AH;53679;SpaceX;;;
2022-125A ;53964;SpaceX;;;
2022-125D ;53967;SpaceX;;;
2022-125C ;53966;SpaceX;;;
2022-107AH ;53731;SpaceX;;;
2022-107AU ;53742;SpaceX;;;
2022-125H ;53971;SpaceX;;;
2022-107AE ;53728;SpaceX;;;
2022-107AG ;53730;SpaceX;;;
2022-107W ;53720;SpaceX;;;
2022-177E ;54824;SpaceX;;;
2022-107V ;53719;SpaceX;;;
2022-107AV ;53743;SpaceX;;;
2022-107AP ;53737;SpaceX;;;
2022-104W;53608;SpaceX;;;
2022-104Q;53602;SpaceX;;;
2022-114P ;53831;SpaceX;;;
2022-104Z;53611;SpaceX;;;
2022-107AF ;53729;SpaceX;;;
2022-107AN ;53736;SpaceX;;;
2022-104AD;53615;SpaceX;;;
2022-104AC;53614;SpaceX;;;
2022-104AB;53613;SpaceX;;;
2022-107AX ;53745;SpaceX;;;
2022-104AA;53612;SpaceX;;;
2022-177X ;54841;SpaceX;;;
2022-104X;53609;SpaceX;;;
2022-107AJ ;53732;SpaceX;;;
2022-107AQ ;53738;SpaceX;;;
2022-107AA ;53724;SpaceX;;;
2022-111E ;53777;SpaceX;;;
2022-111S ;53789;SpaceX;;;
2022-107H ;53707;SpaceX;;;
2022-104J;53596;SpaceX;;;
2022-107BA ;53748;SpaceX;;;
2022-105AU;53690;SpaceX;;;
2022-107AW ;53744;SpaceX;;;
2022-104F;53593;SpaceX;;;
2022-104E;53592;SpaceX;;;
2022-104B;53589;SpaceX;;;
2022-104D;53591;SpaceX;;;
2022-104P;53601;SpaceX;;;
2022-104L;53598;SpaceX;;;
2022-104N;53600;SpaceX;;;
2022-111H ;53780;SpaceX;;;
2022-111K ;53782;SpaceX;;;
2022-107BB ;53749;SpaceX;;;
2022-104G;53594;SpaceX;;;
2022-104K;53597;SpaceX;;;
2022-107N ;53712;SpaceX;;;
2022-104H;53595;SpaceX;;;
2022-107K ;53709;SpaceX;;;
2022-107R ;53715;SpaceX;;;
2022-111M ;53784;SpaceX;;;
2022-107Q ;53714;SpaceX;;;
2022-104C;53590;SpaceX;;;
2022-104S;53604;SpaceX;;;
2022-104A;53588;SpaceX;;;
2022-104R;53603;SpaceX;;;
2022-104T;53605;SpaceX;;;
2022-107J ;53708;SpaceX;;;
2022-107U ;53718;SpaceX;;;
2022-107AC ;53726;SpaceX;;;
2022-107P ;53713;SpaceX;;;
2022-107S ;53716;SpaceX;;;
2022-107Y ;53722;SpaceX;;;
2022-107AD ;53727;SpaceX;;;
2022-114AP ;53855;SpaceX;;;
2022-107Z ;53723;SpaceX;;;
2022-111G ;53779;SpaceX;;;
2022-107X ;53721;SpaceX;;;
2022-111D ;53776;SpaceX;;;
2022-111F ;53778;SpaceX;;;
2022-111AC ;53799;SpaceX;;;
2022-107B ;53701;SpaceX;;;
2022-111AB ;53798;SpaceX;;;
2022-107E ;53704;SpaceX;;;
2022-111AE ;53801;SpaceX;;;
2022-107G ;53706;SpaceX;;;
2022-107F ;53705;SpaceX;;;
2022-111A ;53773;SpaceX;;;
2022-111B ;53774;SpaceX;;;
2022-111AD ;53800;SpaceX;;;
2022-111Z ;53796;SpaceX;;;
2022-111C ;53775;SpaceX;;;
2022-111AA ;53797;SpaceX;;;
2022-107C ;53702;SpaceX;;;
2022-107A ;53700;SpaceX;;;
2022-111AF ;53802;SpaceX;;;
2022-111AG ;53803;SpaceX;;;
2022-111W ;53793;SpaceX;;;
2022-111AH ;53804;SpaceX;;;
2022-111X ;53794;SpaceX;;;
2022-107D ;53703;SpaceX;;;
2022-114BE ;53870;SpaceX;;;
2022-111T ;53790;SpaceX;;;
2022-114S ;53834;SpaceX;;;
2022-114B ;53819;SpaceX;;;
2022-111V ;53792;SpaceX;;;
2022-114BF ;53871;SpaceX;;;
2022-111Y ;53795;SpaceX;;;
2022-111Q ;53787;SpaceX;;;
2022-114AC ;53844;SpaceX;;;
2022-114AE ;53846;SpaceX;;;
2022-114Q ;53832;SpaceX;;;
2022-114F ;53823;SpaceX;;;
2022-114A ;53818;SpaceX;;;
2022-114Z ;53841;SpaceX;;;
2022-114H ;53825;SpaceX;;;
2022-114D ;53821;SpaceX;;;
2022-114AD ;53845;SpaceX;;;
2022-114AA ;53842;SpaceX;;;
2022-114AK ;53851;SpaceX;;;
2022-114J ;53826;SpaceX;;;
2022-114G ;53824;SpaceX;;;
2022-114C ;53820;SpaceX;;;
2022-114M ;53829;SpaceX;;;
2022-114L ;53828;SpaceX;;;
2022-114N ;53830;SpaceX;;;
2022-114BA ;53866;SpaceX;;;
2022-111AJ ;53805;SpaceX;;;
2022-114K ;53827;SpaceX;;;
2022-119BD ;53937;SpaceX;;;
2022-114Y ;53840;SpaceX;;;
2022-114AJ ;53850;SpaceX;;;
2022-111AK ;53806;SpaceX;;;
2022-114AB ;53843;SpaceX;;;
2022-114AH ;53849;SpaceX;;;
2022-114R ;53833;SpaceX;;;
2022-119AY ;53932;SpaceX;;;
2022-114W ;53838;SpaceX;;;
2023-046AX;56138;SpaceX;;;
2022-119BA ;53934;SpaceX;;;
2022-114V ;53837;SpaceX;;;
2022-114AF ;53847;SpaceX;;;
2022-114U ;53836;SpaceX;;;
2022-114AY ;53864;SpaceX;;;
2022-114AG ;53848;SpaceX;;;
2022-114AV ;53861;SpaceX;;;
2022-119AZ ;53933;SpaceX;;;
2022-114T ;53835;SpaceX;;;
2022-114X ;53839;SpaceX;;;
2022-114AZ ;53865;SpaceX;;;
2023-014C ;55393;SpaceX;;;
2022-119U ;53904;SpaceX;;;
2022-114AX ;53863;SpaceX;;;
2022-114BC ;53868;SpaceX;;;
2022-114AT ;53859;SpaceX;;;
2022-119BC ;53936;SpaceX;;;
2022-114AW ;53862;SpaceX;;;
2022-114BB ;53867;SpaceX;;;
2022-114AM ;53853;SpaceX;;;
2022-114AQ ;53856;SpaceX;;;
2022-119Z ;53909;SpaceX;;;
2022-114AL ;53852;SpaceX;;;
2022-114AS ;53858;SpaceX;;;
2022-114AU ;53860;SpaceX;;;
2022-114AN ;53854;SpaceX;;;
2022-177F ;54825;SpaceX;;;
2022-114AR ;53857;SpaceX;;;
2022-114BD ;53869;SpaceX;;;
2022-053AN;52692;SpaceX;;;
2022-119BB ;53935;SpaceX;;;
2022-119AQ ;53924;SpaceX;;;
2022-119AN ;53922;SpaceX;;;
2022-119V ;53905;SpaceX;;;
2022-119AP ;53923;SpaceX;;;
2023-014AH ;55422;SpaceX;;;
2022-119AT ;53927;SpaceX;;;
2022-119AU ;53928;SpaceX;;;
2022-119AW ;53930;SpaceX;;;
2022-119AR ;53925;SpaceX;;;
2022-119AJ ;53918;SpaceX;;;
2023-015AV;55492;SpaceX;;;
2022-119AS ;53926;SpaceX;;;
2022-119AX ;53931;SpaceX;;;
2023-046BC;56143;SpaceX;;;
2022-119AF ;53915;SpaceX;;;
2022-119AV ;53929;SpaceX;;;
2023-014S ;55407;SpaceX;;;
2023-015K;55458;SpaceX;;;
2022-119S ;53902;SpaceX;;;
2022-119T ;53903;SpaceX;;;
2022-119AK ;53919;SpaceX;;;
2022-119R ;53901;SpaceX;;;
2022-119AL ;53920;SpaceX;;;
2023-013AR;55370;SpaceX;;;
2022-119A ;53886;SpaceX;;;
2022-119B ;53887;SpaceX;;;
2023-014AD ;55418;SpaceX;;;
2022-119D ;53889;SpaceX;;;
2022-119K ;53895;SpaceX;;;
2023-014X ;55412;SpaceX;;;
2022-119C ;53888;SpaceX;;;
2022-119M ;53897;SpaceX;;;
2022-119AH ;53917;SpaceX;;;
2022-119L ;53896;SpaceX;;;
2022-119AE ;53914;SpaceX;;;
2022-119F ;53891;SpaceX;;;
2022-119P ;53899;SpaceX;;;
2022-119J ;53894;SpaceX;;;
2022-119N ;53898;SpaceX;;;
2022-119Q ;53900;SpaceX;;;
2022-119G ;53892;SpaceX;;;
2023-014U ;55409;SpaceX;;;
2022-119AB ;53911;SpaceX;;;
2022-119E ;53890;SpaceX;;;
2022-119AG ;53916;SpaceX;;;
2022-119H ;53893;SpaceX;;;
2022-119AD ;53913;SpaceX;;;
2022-119W ;53906;SpaceX;;;
2022-125BD ;54015;SpaceX;;;
2022-119AA ;53910;SpaceX;;;
2022-119Y ;53908;SpaceX;;;
2023-015H;55456;SpaceX;;;
2022-119AC ;53912;SpaceX;;;
2023-014Y ;55413;SpaceX;;;
2022-177AD ;54847;SpaceX;;;
2023-021K;55637;SpaceX;;;
2022-119X ;53907;SpaceX;;;
2023-014AP ;55428;SpaceX;;;
2023-021P;55641;SpaceX;;;
2023-021AB;55653;SpaceX;;;
2023-014AJ ;55423;SpaceX;;;
2023-021N;55640;SpaceX;;;
2023-021AC;55654;SpaceX;;;
2023-014M ;55402;SpaceX;;;
2023-028T;55758;SpaceX;;;
2023-014AN ;55427;SpaceX;;;
2023-014AZ ;55438;SpaceX;;;
2022-125AC ;53990;SpaceX;;;
2023-014L ;55401;SpaceX;;;
2023-014A;55391;SpaceX;;;
2022-177AP ;54857;SpaceX;;;
2022-125AM ;53999;SpaceX;;;
2023-014AY ;55437;SpaceX;;;
2023-028U;55759;SpaceX;;;
2022-177AB ;54845;SpaceX;;;
2022-177AH ;54851;SpaceX;;;
2023-014B ;55392;SpaceX;;;
2022-177AN ;54856;SpaceX;;;
2022-177AG ;54850;SpaceX;;;
2022-125AN ;54000;SpaceX;;;
2023-046BH;56148;SpaceX;;;
2023-046AW;56137;SpaceX;;;
2022-177BF ;54873;SpaceX;;;
2023-014T ;55408;SpaceX;;;
2023-058R;56332;SpaceX;;;
2022-125P ;53977;SpaceX;;;
2022-125AU ;54006;SpaceX;;;
2022-125AH ;53995;SpaceX;;;
2022-125BB ;54013;SpaceX;;;
2022-125AX ;54009;SpaceX;;;
2023-015AY;55495;SpaceX;;;
2022-177C ;54822;SpaceX;;;
2023-021T;55645;SpaceX;;;
2022-125V ;53983;SpaceX;;;
2023-021U;55646;SpaceX;;;
2022-125AP ;54001;SpaceX;;;
2022-177D ;54823;SpaceX;;;
2022-177G ;54826;SpaceX;;;
2022-125AE ;53992;SpaceX;;;
2022-125AQ ;54002;SpaceX;;;
2022-177V ;54839;SpaceX;;;
2023-046BF;56146;SpaceX;;;
2022-125Z ;53987;SpaceX;;;
2022-125AA ;53988;SpaceX;;;
2022-125AR ;54003;SpaceX;;;
2022-125AB ;53989;SpaceX;;;
2022-125BC ;54014;SpaceX;;;
2022-141R ;54172;SpaceX;;;
2022-125AD ;53991;SpaceX;;;
2022-125Y ;53986;SpaceX;;;
2022-125U ;53982;SpaceX;;;
2022-125AF ;53993;SpaceX;;;
2022-141Y ;54179;SpaceX;;;
2022-125R ;53979;SpaceX;;;
2022-125AZ ;54011;SpaceX;;;
2022-125AG ;53994;SpaceX;;;
2022-125BA ;54012;SpaceX;;;
2022-125AY ;54010;SpaceX;;;
2022-125AL ;53998;SpaceX;;;
2022-125AS ;54004;SpaceX;;;
2022-125AK ;53997;SpaceX;;;
2022-125AJ ;53996;SpaceX;;;
2022-125AV ;54007;SpaceX;;;
2022-125S ;53980;SpaceX;;;
2022-125N ;53976;SpaceX;;;
2022-125AT ;54005;SpaceX;;;
2022-125M ;53975;SpaceX;;;
2022-136AD ;54078;SpaceX;;;
2023-015AZ;55496;SpaceX;;;
2023-046BG;56147;SpaceX;;;
2023-015BD;55500;SpaceX;;;
2022-125W ;53984;SpaceX;;;
2022-136AQ ;54089;SpaceX;;;
2022-136X ;54072;SpaceX;;;
2022-125AW ;54008;SpaceX;;;
2022-136Y ;54073;SpaceX;;;
2022-125X ;53985;SpaceX;;;
2022-125Q ;53978;SpaceX;;;
2022-125T ;53981;SpaceX;;;
2022-136R ;54066;SpaceX;;;
2022-136AP ;54088;SpaceX;;;
2022-141V ;54176;SpaceX;;;
2022-141P ;54170;SpaceX;;;
2022-125K ;53973;SpaceX;;;
2022-125J ;53972;SpaceX;;;
2022-136E ;54055;SpaceX;;;
2022-125L ;53974;SpaceX;;;
2022-136AF ;54080;SpaceX;;;
2022-141G ;54163;SpaceX;;;
2022-141AD ;54184;SpaceX;;;
2022-136D ;54054;SpaceX;;;
2022-141X ;54178;SpaceX;;;
2022-136AG ;54081;SpaceX;;;
2022-136AL ;54085;SpaceX;;;
2022-136H ;54058;SpaceX;;;
2022-136W ;54071;SpaceX;;;
2022-136K ;54060;SpaceX;;;
2022-136M ;54062;SpaceX;;;
2022-136AC ;54077;SpaceX;;;
2022-136P ;54064;SpaceX;;;
2022-136J ;54059;SpaceX;;;
2022-136S ;54067;SpaceX;;;
2022-136AE ;54079;SpaceX;;;
2022-136C ;54053;SpaceX;;;
2022-136AR ;54090;SpaceX;;;
2022-136AJ ;54083;SpaceX;;;
2022-136BD ;54102;SpaceX;;;
2023-010BB;55318;SpaceX;;;
2022-136V ;54070;SpaceX;;;
2022-141AJ ;54189;SpaceX;;;
2022-136AK ;54084;SpaceX;;;
2022-136AN ;54087;SpaceX;;;
2022-136BB ;54100;SpaceX;;;
2022-141W ;54177;SpaceX;;;
2022-136Q ;54065;SpaceX;;;
2022-136AX ;54096;SpaceX;;;
2022-136B ;54052;SpaceX;;;
2022-136AT ;54092;SpaceX;;;
2022-175F ;54763;SpaceX;;;
2022-136Z ;54074;SpaceX;;;
2022-136AW ;54095;SpaceX;;;
2022-141AF ;54186;SpaceX;;;
2022-136A ;54051;SpaceX;;;
2023-010BC;55319;SpaceX;;;
2022-136AY ;54097;SpaceX;;;
2022-136BA ;54099;SpaceX;;;
2022-141AW ;54201;SpaceX;;;
2022-136BE ;54103;SpaceX;;;
2022-136AB ;54076;SpaceX;;;
2022-175D ;54761;SpaceX;;;
2022-136BF ;54104;SpaceX;;;
2022-136BC ;54101;SpaceX;;;
2022-141AX ;54202;SpaceX;;;
2022-136L ;54061;SpaceX;;;
2022-136AH ;54082;SpaceX;;;
2022-136AM ;54086;SpaceX;;;
2022-136AA ;54075;SpaceX;;;
2022-136AU ;54093;SpaceX;;;
2022-175E ;54762;SpaceX;;;
2022-175B ;54759;SpaceX;;;
2022-136AZ ;54098;SpaceX;;;
2023-021J;55636;SpaceX;;;
2022-136AV ;54094;SpaceX;;;
2022-175C ;54760;SpaceX;;;
2022-136AS ;54091;SpaceX;;;
2022-136T ;54068;SpaceX;;;
2022-136U ;54069;SpaceX;;;
2023-014G ;55397;SpaceX;;;
2022-136N ;54063;SpaceX;;;
2022-136F ;54056;SpaceX;;;
2022-141AA ;54181;SpaceX;;;
2022-141Z ;54180;SpaceX;;;
2022-141Q ;54171;SpaceX;;;
2023-014D ;55394;SpaceX;;;
2022-141AB ;54182;SpaceX;;;
2023-021AZ;55675;SpaceX;;;
2022-141D ;54160;SpaceX;;;
2022-141AS ;54197;SpaceX;;;
2022-141AE ;54185;SpaceX;;;
2023-010F;55274;SpaceX;;;
2022-141AR ;54196;SpaceX;;;
2022-141AH ;54188;SpaceX;;;
2022-141AC ;54183;SpaceX;;;
2022-141AG ;54187;SpaceX;;;
2022-141AZ ;54204;SpaceX;;;
2022-141S ;54173;SpaceX;;;
2022-141L ;54167;SpaceX;;;
2022-141AU ;54199;SpaceX;;;
2022-141M ;54168;SpaceX;;;
2022-141AT ;54198;SpaceX;;;
2022-141AY ;54203;SpaceX;;;
2022-141T ;54174;SpaceX;;;
2022-141BA ;54205;SpaceX;;;
2022-141AV ;54200;SpaceX;;;
2022-141BD ;54208;SpaceX;;;
2022-141U ;54175;SpaceX;;;
2023-010AZ;55316;SpaceX;;;
2022-141AQ ;54195;SpaceX;;;
2022-141BE ;54209;SpaceX;;;
2023-010G;55275;SpaceX;;;
2023-010H;55276;SpaceX;;;
2022-141BC ;54207;SpaceX;;;
2022-141AN ;54193;SpaceX;;;
2022-141BB ;54206;SpaceX;;;
2023-010BA;55317;SpaceX;;;
2023-010X;55290;SpaceX;;;
2023-021AD;55655;SpaceX;;;
2022-141AM ;54192;SpaceX;;;
2022-141E ;54161;SpaceX;;;
2023-010AG;55299;SpaceX;;;
2022-141AP ;54194;SpaceX;;;
2023-010AF;55298;SpaceX;;;
2022-141F ;54162;SpaceX;;;
2023-014E ;55395;SpaceX;;;
2023-014H ;55398;SpaceX;;;
2023-014J ;55399;SpaceX;;;
2023-010A;55269;SpaceX;;;
2022-141H ;54164;SpaceX;;;
2022-141J ;54165;SpaceX;;;
2022-141K ;54166;SpaceX;;;
2022-141AK ;54190;SpaceX;;;
2022-141N ;54169;SpaceX;;;
2023-014F ;55396;SpaceX;;;
2023-010AE;55297;SpaceX;;;
2023-010AD;55296;SpaceX;;;
2023-010AB;55294;SpaceX;;;
2023-010AA;55293;SpaceX;;;
2022-076V;53005;SpaceX;;;
2023-010AQ;55307;SpaceX;;;
2023-010K;55278;SpaceX;;;
2022-141A ;54157;SpaceX;;;
2023-010E;55273;SpaceX;;;
2023-010AR;55308;SpaceX;;;
2023-010AC;55295;SpaceX;;;
2022-141C ;54159;SpaceX;;;
2023-010AP;55306;SpaceX;;;
2023-010AV;55312;SpaceX;;;
2022-141B ;54158;SpaceX;;;
2023-010N;55281;SpaceX;;;
2023-010J;55277;SpaceX;;;
2023-021BA;55676;SpaceX;;;
2023-010B;55270;SpaceX;;;
2023-021C;55630;SpaceX;;;
2022-177Z ;54843;SpaceX;;;
2023-010AX;55314;SpaceX;;;
2023-010C;55271;SpaceX;;;
2023-021AG;55658;SpaceX;;;
2023-010AH;55300;SpaceX;;;
2023-010AT;55310;SpaceX;;;
2023-010D;55272;SpaceX;;;
2023-010V;55288;SpaceX;;;
2023-010AU;55311;SpaceX;;;
2023-010AW;55313;SpaceX;;;
2023-021BC;55678;SpaceX;;;
2023-010AS;55309;SpaceX;;;
2023-010AN;55305;SpaceX;;;
2023-010Q;55283;SpaceX;;;
2023-010AM;55304;SpaceX;;;
2023-010W;55289;SpaceX;;;
2023-010AK;55302;SpaceX;;;
2023-010AL;55303;SpaceX;;;
2023-010L;55279;SpaceX;;;
2023-021BB;55677;SpaceX;;;
2023-010Z;55292;SpaceX;;;
2023-021AE;55656;SpaceX;;;
2023-010Y;55291;SpaceX;;;
2023-021AF;55657;SpaceX;;;
2023-010P;55282;SpaceX;;;
2023-010M;55280;SpaceX;;;
2023-010S;55285;SpaceX;;;
2023-010R;55284;SpaceX;;;
2023-010T;55286;SpaceX;;;
2023-010U;55287;SpaceX;;;
2023-015AX;55494;SpaceX;;;
2022-177AW ;54864;SpaceX;;;
2022-177AC ;54846;SpaceX;;;
2023-015AW;55493;SpaceX;;;
2023-015BA;55497;SpaceX;;;
2023-015AU;55491;SpaceX;;;
2023-015BB;55498;SpaceX;;;
2023-015BC;55499;SpaceX;;;
2023-015BE;55501;SpaceX;;;
2022-177W ;54840;SpaceX;;;
2022-177T ;54837;SpaceX;;;
2023-046BE;56145;SpaceX;;;
2022-177U ;54838;SpaceX;;;
2023-015AT;55490;SpaceX;;;
2023-046BD;56144;SpaceX;;;
2023-046AZ;56140;SpaceX;;;
2023-046BB;56142;SpaceX;;;
2023-046BA;56141;SpaceX;;;
2023-046AY;56139;SpaceX;;;
2022-177BA ;54868;SpaceX;;;
2022-177K ;54829;SpaceX;;;
2022-177J ;54828;SpaceX;;;
2022-177A ;54820;SpaceX;;;
2022-177H ;54827;SpaceX;;;
2022-177S ;54836;SpaceX;;;
2022-177B ;54821;SpaceX;;;
2022-177Q ;54834;SpaceX;;;
2022-177Y ;54842;SpaceX;;;
2022-177AA ;54844;SpaceX;;;
2022-177R ;54835;SpaceX;;;
2022-177BE ;54872;SpaceX;;;
2022-177P ;54833;SpaceX;;;
2022-175AN ;54794;SpaceX;;;
2022-177N ;54832;SpaceX;;;
2022-177L ;54830;SpaceX;;;
2022-177M ;54831;SpaceX;;;
2022-177AZ ;54867;SpaceX;;;
2022-177BD ;54871;SpaceX;;;
2022-177AY ;54866;SpaceX;;;
2022-175AG ;54788;SpaceX;;;
2022-177AT ;54861;SpaceX;;;
2022-177BC ;54870;SpaceX;;;
2022-177BB ;54869;SpaceX;;;
2022-177AU ;54862;SpaceX;;;
2022-175M ;54769;SpaceX;;;
2022-177AV ;54863;SpaceX;;;
2022-177AS ;54860;SpaceX;;;
2022-177AQ ;54858;SpaceX;;;
2022-175BE ;54810;SpaceX;;;
2022-177AR ;54859;SpaceX;;;
2022-175BB ;54807;SpaceX;;;
2022-177AX ;54865;SpaceX;;;
2022-175BA ;54806;SpaceX;;;
2022-175BC ;54808;SpaceX;;;
2022-175BD ;54809;SpaceX;;;
2022-175AQ ;54796;SpaceX;;;
2022-177AM ;54855;SpaceX;;;
2022-175AZ ;54805;SpaceX;;;
2022-177AJ ;54852;SpaceX;;;
2022-177AL ;54854;SpaceX;;;
2022-175AS ;54798;SpaceX;;;
2022-175AT ;54799;SpaceX;;;
2022-175AY ;54804;SpaceX;;;
2023-021AU;55670;SpaceX;;;
2022-175BF ;54811;SpaceX;;;
2022-175AK ;54791;SpaceX;;;
2022-175AW ;54802;SpaceX;;;
2022-177AK ;54853;SpaceX;;;
2022-175AU ;54800;SpaceX;;;
2022-175AV ;54801;SpaceX;;;
2022-175AX ;54803;SpaceX;;;
2022-175AL ;54792;SpaceX;;;
2022-177AE ;54848;SpaceX;;;
2022-175AM ;54793;SpaceX;;;
2022-177AF ;54849;SpaceX;;;
2022-175AR ;54797;SpaceX;;;
2022-175AP ;54795;SpaceX;;;
2022-175AA ;54782;SpaceX;;;
2022-175AE ;54786;SpaceX;;;
2022-175AB ;54783;SpaceX;;;
2022-175AD ;54785;SpaceX;;;
2022-175AF ;54787;SpaceX;;;
2022-175AC ;54784;SpaceX;;;
2022-175Z ;54781;SpaceX;;;
2022-175L ;54768;SpaceX;;;
2022-175AJ ;54790;SpaceX;;;
2022-175AH ;54789;SpaceX;;;
2022-175X ;54779;SpaceX;;;
2022-175N ;54770;SpaceX;;;
2022-175Y ;54780;SpaceX;;;
2022-175W ;54778;SpaceX;;;
2022-175P ;54771;SpaceX;;;
2022-175Q ;54772;SpaceX;;;
2022-175R ;54773;SpaceX;;;
2022-175S ;54774;SpaceX;;;
2023-021AS;55668;SpaceX;;;
2023-021AR;55667;SpaceX;;;
2022-175G ;54764;SpaceX;;;
2023-021AT;55669;SpaceX;;;
2023-021AV;55671;SpaceX;;;
2023-021AW;55672;SpaceX;;;
2023-021AY;55674;SpaceX;;;
2022-101AL;53561;SpaceX;;;
2023-021AX;55673;SpaceX;;;
2022-175A;54758;SpaceX;;;
2022-175T ;54775;SpaceX;;;
2022-175H ;54765;SpaceX;;;
2023-021AJ;55660;SpaceX;;;
2022-175V ;54777;SpaceX;;;
2023-021X;55649;SpaceX;;;
2022-175U ;54776;SpaceX;;;
2022-175J ;54766;SpaceX;;;
2022-175K ;54766;SpaceX;;;
2022-175K ;54767;SpaceX;;;
2023-021AM;55663;SpaceX;;;
2023-021AP;55665;SpaceX;;;
2023-021AK;55661;SpaceX;;;
2023-021AH;55659;SpaceX;;;
2023-021Q;55642;SpaceX;;;
2023-021AL;55662;SpaceX;;;
2023-021AN;55664;SpaceX;;;
2023-058AT;56358;SpaceX;;;
2023-021R;55643;SpaceX;;;
2023-021A;55628;SpaceX;;;
2023-021AA;55652;SpaceX;;;
2023-046AV;56136;SpaceX;;;
2023-013B;55332;SpaceX;;;
2023-013A;55331;SpaceX;;;
2023-013C;55333;SpaceX;;;
2023-021Y;55650;SpaceX;;;
2023-021H;55635;SpaceX;;;
2023-021B;55629;SpaceX;;;
2023-021F;55633;SpaceX;;;
2023-028Z;55764;SpaceX;;;
2023-021G;55634;SpaceX;;;
2023-021W;55648;SpaceX;;;
2023-021S;55644;SpaceX;;;
2023-021Z;55651;SpaceX;;;
2023-021L;55638;SpaceX;;;
2023-021M;55639;SpaceX;;;
2023-021V;55647;SpaceX;;;
2023-013BE;55384;SpaceX;;;
2023-028V;55760;SpaceX;;;
2023-058AQ;56355;SpaceX;;;
2023-058AR;56356;SpaceX;;;
2023-058AS;56357;SpaceX;;;
2023-028G;55747;SpaceX;;;
2023-058Z;56340;SpaceX;;;
2023-058AA;56341;SpaceX;;;
2023-028S;55757;SpaceX;;;
2023-021E;55632;SpaceX;;;
2023-013X;55352;SpaceX;;;
2023-058T;56334;SpaceX;;;
2023-058AV;56360;SpaceX;;;
2023-058AW;56361;SpaceX;;;
2023-058AU;56359;SpaceX;;;
2023-058Y;56339;SpaceX;;;
2023-058S;56333;SpaceX;;;
2023-058X;56338;SpaceX;;;
2023-013BH;55386;SpaceX;;;
2023-013BG;55385;SpaceX;;;
2023-028AF;55770;SpaceX;;;
2023-021D;55631;SpaceX;;;
2023-058U;56335;SpaceX;;;
2023-028J;55749;SpaceX;;;
2023-058W;56337;SpaceX;;;
2023-058V;56336;SpaceX;;;
2023-046AU;56135;SpaceX;;;
2023-046AT;56134;SpaceX;;;
2023-028E;55745;SpaceX;;;
2023-046AS;56133;SpaceX;;;
2023-013AY;55377;SpaceX;;;
2023-013AT;55372;SpaceX;;;
2023-013BA;55379;SpaceX;;;
2023-014AU ;55433;SpaceX;;;
2023-013BB;55380;SpaceX;;;
2023-013AZ;55378;SpaceX;;;
2023-028K;55750;SpaceX;;;
2023-013AH;55362;SpaceX;;;
2023-013BC;55382;SpaceX;;;
2023-013BD;55383;SpaceX;;;
2023-028L;55751;SpaceX;;;
2023-013AV;55374;SpaceX;;;
2023-028F;55746;SpaceX;;;
2023-028H;55748;SpaceX;;;
2023-013AU;55373;SpaceX;;;
2023-028AD;55768;SpaceX;;;
2023-028AE;55769;SpaceX;;;
2023-013AX;55376;SpaceX;;;
2023-013AW;55375;SpaceX;;;
2023-013AS;55371;SpaceX;;;
2023-028AG;55771;SpaceX;;;
2023-028A;55741;SpaceX;;;
2023-028Y;55763;SpaceX;;;
2023-028B;55742;SpaceX;;;
2023-028AA;55765;SpaceX;;;
2023-015AD;55476;SpaceX;;;
2023-014N ;55403;SpaceX;;;
2023-014AG ;55421;SpaceX;;;
