officialName;COSPAR_number;NORAD_number;id_t;detailedPurpose;orbitSat;typeOrbitSat;longitudeGEO;perihelionSat;aphelionSat;eccentricitySat;inclinationSat;periodSat;drymass;power;expectedLifetime;launchSite;launchVehicle
ARCSAT;2022-033E;52161;253;;LEO;Sun-Synchronous;0;499;510;8,00E-04;97,4;95;;;;Cape Canaveral;Falcon 9
ARICA;2021-102J;49403;253;;LEO;Sun-Synchronous;0;547;572;1,80E-03;97,6;95;;;;Uchinoura Space Center;H2A
Arktika-M1;2021-016A;47719;253;Meteorology;Elliptical;;0;1.025;39.754;7,24E-01;63,3;717,8;" 	780 ";2000;7;Baikonur Cosmodrome;Soyuz-2.1b
Arkyd-6A;2018-004V;43130;253;;LEO;Sun-Synchronous;0;493;505;8,73E-04;97,5;94,5;;;;Satish Dhawan Space Centre;PSLV
ArSat 1;2014-062B;40272;253;;GEO;;-71,8;35.778;35.795;2,02E-04;0,01;1436,07;;;15;Guiana Space Center;Ariane 5 ECA
ArSat 2;2015-054B;40941;253;;GEO;;-81;35.786;35.801;1,78E-04;0,01;1436,06;;4600;15;Guiana Space Center;Ariane 5 ECA
Arthur;2021-059CC;48953;253;Optical Imaging;LEO;Sun-Synchronous;0;512;535;1,67E-03;97,5;95,1;;;;Cape Canaveral;Falcon 9
ASELSAT;2021-006AE;47441;253;Optical Imaging;LEO;Sun-Synchronous;0;522;536;1,01E-03;97,5;95,2;;;;Cape Canaveral;Falcon 9
AsiaSat-5;2009-042A;35696;253;;GEO;;100,5;35.778;35.795;2,02E-04;0;1436,11;;;15;Baikonur Cosmodrome;Breeze M
AsiaSat-6;2014-052A;40141;253;;GEO;;120;35.783;35.793;1,19E-04;0,07;1436,17;;;15;Cape Canaveral;Falcon 9
AsiaSat-7;2011-069A;37933;253;;GEO;;105,5;35.782;35.793;1,30E-04;0,02;1436,17;;;15;Baikonur Cosmodrome;Proton M
AsiaSat-8;2014-046A;40107;253;;GEO;;105,5;35.781;35.793;1,42E-04;0,07;1436,1;;8500;15;Cape Canaveral;Falcon 9
AsiaSat-9;2017-057A;42942;253;;GEO;;122;35.783;35.790;8,30E-05;0,02;1436,1;;;15;Baikonur Cosmodrome;Proton
AsiaStar;2000-016A;26107;253;;GEO;;104,97;35.773;35.801;3,32E-04;0,02;1436,15;" 	1.530 ";5600;15;Guiana Space Center;Ariane 5G
ASNARO-1;2014-070A;40298;253;Optical Imaging;LEO;Sun-Synchronous;0;506;507;7,27E-05;97,48;94,75;;;3;Dombarovsky Air Base;Dnepr
ASNARO-2;2018-007A;43152;253;Radar Imaging;LEO;Sun-Synchronous;0;493;505;8,73E-04;97,3;94,5;;;3;Uchinoura Space Center;Epsilon
ASTERISC;2021-102C;49397;253;;LEO;Sun-Synchronous;0;556;573;1,23E-03;97,6;94,5;;;;Uchinoura Space Center;H2A
Astra 1G;1997-076A;25071;253;;GEO;;19,24;35.780;35.791;1,30E-04;0,04;1436,08;" 	3.010 ";6600;15;Baikonur Cosmodrome;Proton K
Astra 1KR;2006-012A;29055;253;;GEO;;19,16;35.766;35.807;4,86E-04;0,08;1436,1;;12000;15;Cape Canaveral;Atlas 5
Astra 1L;2007-016A;31306;253;;GEO;;19,3;35.772;35.798;3,08E-04;0,05;1436,03;;13000;15;Guiana Space Center;Ariane 5 ECA
Astra 1M;2008-057A;33436;253;;GEO;;19,2;35.804;35.852;5,69E-04;0,14;1438,2;;9900;15;Baikonur Cosmodrome;Proton M
Astra 1N;2011-041A;37775;253;;GEO;;28,2;35.715;35.780;7,72E-04;0,12;1434,1;;;15;Guiana Space Center;Ariane 5 ECA
Astra 2A;1998-050A;25462;253;;GEO;;28,16;35.776;35.797;2,49E-04;0,08;1436,12;" 	2.500 ";7000;15;Baikonur Cosmodrome;Proton K
Astra 2C;2001-025A;26853;253;;GEO;;28,21;35.768;35.804;4,27E-04;0,07;1436,12;" 	2.000 ";7000;15;Baikonur Cosmodrome;Proton K
Astra 2D;2000-081A;26638;253;;GEO;;28,14;35.770;35.802;3,80E-04;0,07;1436,1;" 	700 ";1500;15;Guiana Space Center;Ariane 5G
Astra 2E;2013-056A;39285;253;;GEO;;28,2;35.781;35.793;1,42E-04;0,11;1436,12;;13000;15;Baikonur Cosmodrome;Proton M
Astra 2F;2012-051A;38778;253;;GEO;;28,2;35.777;35.795;2,13E-04;0,06;1436,07;" 	2.660 ";;15;Guiana Space Center;Ariane 5 ECA
Astra 2G;2014-089A;40364;253;;GEO;;28,2;35.785;35.789;4,74E-05;0,09;1436,11;;13000;15;Baikonur Cosmodrome;Proton M
Astra 3A;2002-015B;27400;253;;GEO;;23,48;35.770;35.804;4,03E-04;0,06;1436,07;" 	750 ";1500;10;Guiana Space Center;Ariane 44L
Astra 3B;2010-021A;36581;253;;GEO;;23,5;35.768;35.806;4,51E-04;0,08;1436,11;;10000;15;Guiana Space Center;Ariane 5 ECA
Astra 5B;2014-011B;39617;253;;GEO;;31,55;35.787;35.793;7,12E-05;0,05;1436,26;;;15;Guiana Space Center;Ariane 5 ECA
Astranis Demosat-2;2018-004S;43127;253;;LEO;Sun-Synchronous;0;494;505;8,01E-04;97,5;94,5;;;;Satish Dhawan Space Centre;PSLV
Astrocast-0101 ;2021-006T;47430;253;;LEO;Sun-Synchronous;0;521;534;9,42E-04;97,5;94,6;;;;Cape Canaveral;Falcon 9/Sherpa FX
Astrocast-0102 ;2021-006CD;47488;253;;LEO;Sun-Synchronous;0;523;535;8,70E-04;97,5;94,6;;;;Cape Canaveral;Falcon 9/Sherpa FX
Astrocast-0103 ;2021-006CC;47487;253;;LEO;Sun-Synchronous;0;522;536;1,01E-03;97,5;94,6;;;;Cape Canaveral;Falcon 9/Sherpa FX
Astrocast-0104 ;2021-006DK;47519;253;;LEO;Sun-Synchronous;0;524;537;9,42E-04;97,5;94,5;;;;Cape Canaveral;Falcon 9/Sherpa FX
Astrocast-0105 ;2021-006DH;47517;253;;LEO;Sun-Synchronous;0;526;535;6,52E-04;97,5;94,5;;;;Cape Canaveral;Falcon 9/Sherpa FX
Astrocast-0201 ;2021-059CD;48954;253;;LEO;Sun-Synchronous;0;512;535;1,67E-03;97,5;95,1;;;;Cape Canaveral;Falcon 9
Astrocast-0202   ;2021-059CL;48961;253;;LEO;Sun-Synchronous;0;511;536;1,81E-03;97,5;95;;;;Cape Canaveral;Falcon 9
Astrocast-0203;2021-059CE;48955;253;;LEO;Sun-Synchronous;0;511;536;1,81E-03;97,5;95;;;;Cape Canaveral;Falcon 9
Astrocast-0204 ;2021-059CB;48952;253;;LEO;Sun-Synchronous;0;513;536;1,67E-03;97,5;95,1;;;;Cape Canaveral;Falcon 9
Astrocast-0205 ;2021-059CK;48960;253;;LEO;Sun-Synchronous;0;513;535;1,60E-03;97,5;95;;;;Cape Canaveral;Falcon 9
Astrosat;2015-052A;40930;253;;LEO;Equatorial;0;632;649;1,21E-03;5,99;97,54;;;5;Satish Dhawan Space Centre;PSLV C-30
AT&T T16;2019-034A;44333;253;;GEO;;-101;35.653;36.757;1,30E-02;0,02;1436,07;;;15;Guiana Space Center;Ariane 5
Athena;2020-061D;46275;253;;LEO;Sun-Synchronous;0;516;524;5,81E-04;97,4;94,5;;;;Guiana Space Center;Vega
Athena-Fidus;2014-006B;39509;253;;GEO;;25;35.784;35.788;4,74E-05;0,05;1436,06;;;15;Guiana Space Center;Ariane 5 ECA
Athenoxat-1;2015-077C;41168;253;;LEO;Equatorial;0;532;550;1,30E-03;14,98;95,46;;;;Satish Dhawan Space Centre;PSLV-C29
Azerspace 1/Africasat-1a;2013-006B;39079;253;;GEO;;46;35.778;35.794;1,90E-04;0,04;1436,08;" 	1.438 ";;15;Guiana Space Center;Ariane 5 ECA
Azerspace 2/Intelsat-38;2018-074A;43632;253;;GEO;;45;35.750;35.750;0,00E+00;0,02;1436,1;;;15;Guiana Space Center;Ariane 5 ECA
Badr 4;2006-051A;29526;253;;GEO;;26,02;35.780;35.791;1,30E-04;0,07;1436,06;" 	1.487 ";;15;Baikonur Cosmodrome;Proton M
Badr 5;2010-025A;36592;253;;GEO;;26;35.834;35.883;5,80E-04;0,06;1439,76;;;15;Baikonur Cosmodrome;Proton
Badr 5A;2010-032B;36745;253;;GEO;;30,5;35.605;35.623;2,14E-04;0,03;1427,27;;;15;Guiana Space Center;Ariane 5 ECA
Badr 6;2008-034B;33154;253;;GEO;;26,08;35.768;35.805;4,39E-04;0,05;1436,1;;6000;15;Guiana Space Center;Ariane 5 ECA
Badr 7;2015-065B;41029;253;;GEO;;26;35.768;35.817;5,81E-04;0,1;1436;;;15;Guiana Space Center;Ariane 5
Bangabandhu 1;2018-044A;43463;253;;GEO;;119,1;35.778;35.793;1,78E-04;0;1436,06;;;15;Cape Canaveral;Falcon 9
Baoyun;2021-117C;49814;253;;LEO;Sun-Synchronous;0;472;502;2,19E-03;97,4;95;;;;Jiuquan Satellite Launch Center;Ceres 1
Cosmos 2503;2015-009A;40420;253;Electronic Intelligence;LEO;Sun-Synchronous;0;570;586;1,15E-03;97,7;96,1;" 	3.500 ";;5;Plesetsk Cosmodrome;Soyuz-2.1b
Cosmos 2515;2016-020A;41394;253;Electronic Intelligence;LEO;Sun-Synchronous;0;549;594;3,24E-03;97,62;96,1;" 	3.500 ";;5;Plesetsk Cosmodrome;Soyuz-2.1a
Cosmos 2556;2022-054A;52713;253;Electronic Intelligence;LEO;Sun-Synchronous;0;337;556;1,61E-02;97,7;94,6;" 	3.500 ";;5;Plesetsk Cosmodrome;Soyuz-2.1a
