COSPAR_number;NORAD_number;country1;country2;country3;country4;country5
2019-038B;44388;Ecuador;;;;
2019-049A;44475;Germany;;;;
2019-008A;44047;Russia;;;;
2015-066A;41032;Russia;;;;
2017-027A;42719;Russia;;;;
2019-065A;44552;Russia;;;;
2020-031A;45608;Russia;;;;
2021-113A;49503;Russia;;;;
2019-038Y;44408;USA;;;;
2011-001A;37344;Russia;;;;
2015-074A;41105;Russia;;;;
2019-095A;44903;Russia;;;;
2023-016A;55506;Russia;;;;
2018-070D ;43616;USA;;;;
2011-076D;38010;France;;;;
2011-076B;38008;France;;;;
2011-076A;38007;France;;;;
2011-076C;38009;France;;;;
2023-054AQ;56216;UK;;;;
2021-022N;47944;Singapore;UK;;;
2019-018A;44078;India;;;;
2022-033C;52159;Germany;;;;
2023-001AW;55053;South Africa;;;;
2020-081A;46905;India;;;;
2022-013A;51656;India;;;;
2023-019A;55562;India;;;;
1999-068A;25994;USA;;;;
2004-026A;28376;USA;;;;
2002-022A;27424;Japan;Brazil;;;
2020-091D;47230;Russia;;;;
2016-080A;41896;Japan;;;;
2006-014A;29079;Israel;;;;
2013-044A;39233;USA;;;;
2018-090A;43700;Japan;;;;
2020-061B;46273;Luxembourg;;;;
2018-099AL;43792;Italy;;;;
2018-036F;43446;USA;;;;
2020-102E;47300;China;Ethiopia;;;
2019-093B;44880;China;;;;
2018-099BB;43807;Germany;;;;
2009-016A;34710;France;Italy;;;
2006-020A;29162;USA;;;;
2015-010B;40425;USA;;;;
2013-012A;39122;USA;;;;
2016-038B;41589;USA;;;;
2001-011A;26719;France;;;;
2004-008A;28187;France;;;;
2011-057A;37836;France;;;;
2017-029B;42741;France;UK;Germany;Spain;
2005-052A;28924;France;Italy;;;
2012-062B;38992;Italy;;;;
2009-008B;33750;France;;;;
2000-028A;26369;France;;;;
2009-065A;36101;France;;;;
2014-030A;39773;France;;;;
2002-035A;27460;France;;;;
2019-067A;44624;USA;;;;
2016-014A;41382;USA;;;;
2011-051A;37816;France;;;;
2012-069A;39020;France;;;;
2013-022A;39163;France;;;;
2019-034B;44334;USA;;;;
2015-039B;40875;France;Italy;;;
2016-005A;41310;France;UK;Germany;Spain;
2006-032A;29270;France;UK;Germany;Spain;
2008-065A;33459;France;;;;
2006-007B;28945;France;;;;
2022-134A;54048;France;UK;Germany;Spain;
2022-146A;54225;France;UK;Germany;Spain;
2010-069A;37258;France;UK;Germany;Spain;
2020-005B;45027;France;UK;Germany;Spain;
2022-110A;53765;France;UK;Germany;Spain;
2021-069B;49056;France;UK;Germany;Spain;
2011-044F;37793;USA;;;;
2015-052G;40936;Canada;;;;
2018-099BP;43819;USA;;;;
2021-002L;47319;USA;;;;
2020-053B;45986;Russia;;;;
2020-053A;45985;Russia;;;;
2005-023A;28707;Russia;France;;;
2008-003A;32478;Russia;France;;;
2009-007A;33595;Russia;France;;;
2013-077A;39487;Russia;;;;
2014-064A;40277;Russia;;;;
2015-012A;40505;France;UK;Germany;Spain;
2015-048A;40895;Russia;;;;
2015-082A;41191;France;UK;Germany;Spain;
2021-123A;50001;Russia;;;;
2021-123B;50002;Russia;;;;
2014-010A;39612;Russia;;;;
2014-010B;39613;Russia;;;;
2018-099T;43775;India;;;;
2019-092E;44877;France;;;;
2018-096C;43721;Denmark;;;;
2023-054AD;56205;Denmark;;;;
2020-090A;47226;France;UK;Germany;Spain;
2007-006E;30776;USA;;;;
2018-099BK;43815;USA;;;;
2019-036J;44347;USA;;;;
2020-029B;45610;USA;;;;
2021-059AX;48924;Denmark;;;;
2010-062F;37227;USA;;;;
2018-015A;43192;China;;;;
2012-064B;38998;China;;;;
2012-002A;38049;China;;;;
2014-090A;40367;China;;;;
2018-050A;43491;China;;;;
2010-059A;37214;China;;;;
2013-052A;39260;China;;;;
2017-072A;43010;China;;;;
2021-062A;49008;China;;;;
2016-077A;41882;China;;;;
2021-047A;48808;China;;;;
2008-029A;33053;USA;;;;
2010-046A;37162;USA;;;;
2012-014A;38109;USA;;;;
2013-072A;39462;USA;;;;
2016-010A;41334;USA;;;;
2018-005A;43145;USA;;;;
2017-042G;42831;Germany;;;;
1989-077A;20253;USA;;;;
2017-049A;42920;Taiwan;;;;
1997-047A;24920;USA;;;;
2021-033C;48250;China;;;;
2018-099N;43770;USA;;;;
2020-061W;46292;ESA;;;;
2020-061X;46293;ESA;;;;
2013-066AE;39444;UK;Netherlands;;;
1999-071A;26038;USA;;;;
2003-013B;27715;USA;;;;
2003-044A;27954;USA;;;;
2005-030A;28790;USA;;;;
2005-041A;28884;USA;;;;
2006-023A;29236;USA;;;;
2007-016B;31307;France;Italy;;;
